Orden;Clase de orden;Ubicac.técnica;Fe.inic.extrema;Texto breve;Status usuario;Status sistema;Cl.actividad PM;Cst.tot.reales;Ce.emplazam.;Fe.inicio real;Fecha fin real;Plan mant.prev.;Pos.mantenim.;;
10033820;PM01;DAL-QN-COAG-Z2441;21/10/2021;10014968 Reemplazar sensor recolt.cuajad;EJEC;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;0;0;;
10033821;PM02;PAR-MS-EMPA-CY1310B;21/10/2021;Mantenimiento CY-1310B 3M;EJEC;CTEC NOTI KKMP NLIQ PREC;1;891,17;CEPF;21/10/2021;21/10/2021;0;0;;
10033834;PM02;PAR-SV-SREF-UMA9402;21/10/2021;Mantenimiento UMA 30 TON;PNEJ;CTEC KKMP NLIQ PREC;1;0,00;CEPF;;;150453;2404;;
10033721;PM02;DAL-QP-ENVA-TP1220;20/10/2021;Limpieza e inspección a tapadora TP-1220;ESPR;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;150158;1800;;
10033815;PM01;DAL-QN-EMPA-PK2510;20/10/2021;Reeparar Resistencia de sellado.;EJEC;LIB. MACO MOVM NLIQ PREC;1;0,34;CEGD;;;0;0;;
10033816;PM01;DAL-SV-SVAP;20/10/2021;Corregir Fuga en Manifold Caldera 400BHP;EJEC ESPS;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;0;0;;
10033817;PM01;COL-SV-ELEC-GM9602;20/10/2021;Servicio y cambio de aceite de motor;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;351,92;CEGS;;;0;0;;
10033819;PM01;DAL-QN-COAG-Z2441;20/10/2021;PUENTEAR SENSOR DE RECOLECTOR DE CUAJADA;EJEC;LIB. MACO MOVM NLIQ PREC;1;9,26;CEGD;;;0;0;;
10033826;PM01;DAL-OP-QANA-PM3250;20/10/2021;Reemp.Rodamientos PM3250 recirculac.agua;ESPR;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;0;0;;
10033839;PM01;PAR-MS-PREP-TM1100;20/10/2021;PICADOR TRANCADO;EMAT;LIB. KKMP NLIQ PREC;1;0,00;CEPF;;;0;0;;
10033097;PM01;COL-SV-ELEC-TX9600;19/10/2021;REPARACION DE TRANSFORMADORES 333KVA;ESPS CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033291;PM02;COL-SV-SVAP-PM9100A;19/10/2021;Mantenimiento a motores eléctricos SVAP;CREA;ABIE EDET KKMP PREC;1;0,00;CEGS;;;150344;2225;;
10033292;PM02;COL-SV-SVAP-PM9101A;19/10/2021;Mantenimiento a motores eléctricos SVAP;CREA;ABIE EDET KKMP PREC;1;0,00;CEGS;;;150345;2226;;
10033780;PM01;PAR-MS-EMPA-CYM1310B;19/10/2021;SONIDO EXTRAÑO EN MOTOR ELECTRICO ALIMEN;EMAT;LIB. KKMP NLIQ PREC;1;0,00;CEPF;;;0;0;;
10033802;PM01;DAL-OP-QANA-PLC3201;19/10/2021;REPARACION DE PANEL FUNDIDORA A 1500LB;EJEC ESPS;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;0;0;;
10033803;PM01;DAL-QP-PPRE-FD1150B;19/10/2021;AJUSTE TORNILLOS EN FUNDIDORA 500LB;EJEC;LIB. NOTP MACO MOVM NLIQ PREC;1;278,23;CEGD;15/10/2021;;0;0;;
10033805;PM01;COL-MQ-MENV-CD5160B;19/10/2021;Servicio y limpieza de reseñador hitachi;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;202,21;CEGS;;;0;0;;
10033806;PM01;COL-AX-EDIF-ED8012;19/10/2021;Reemplazar lamparas de la cava de manteq;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033807;PM01;COL-P1-EVAP-T1320;19/10/2021;Reparar y colocar soportes de tuberia;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;14,30;CEGS;;;0;0;;
10033809;PM01;COL-PC-FLEX;19/10/2021;Bigotes F.A y F.B.;PROG CREA;LIB. MACO MOVM NLIQ PREC;1;1,35;CEGS;;;0;0;;
10033811;PM01;DAL-QP-EMPA-HN1341C;19/10/2021;Reparar Horno C de QP;EJEC;LIB. MACO MOVM NLIQ PREC;1;0,73;CEGD;;;0;0;;
10033812;PM01;DAL-LD-STER-P4110A5;19/10/2021;Reemplazo empacadura bomba acido cip P8;EJEC;CTEC NOTI KKMP NLIQ PREC;1;278,20;CEGD;18/10/2021;18/10/2021;0;0;;
10033814;PM01;DAL-QP-PPRE-FD1150B;19/10/2021;REEMPLAZO FILTRO CULINARIO FUNDIDORA;EJEC;CTEC NOTI MACO MOVM NLIQ PREC;1;139,11;CEGD;15/10/2021;15/10/2021;0;0;;
